id,device_id,reading_time,pm25,db,co2,voc,no2,co,no,pm1,pm10,humidity,temprature,pressure,battery,signal,sv,ps,latitude,longitude,message_time
10501256,E831CD8471EC,2023-10-09 07:26:02.000,9.0,51.0,0.0,176.0,0.0,0.0,0.0,9.0,9.0,45.0,24.0,1006.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:25:23.000
10501259,E831CD8471EC,2023-10-09 07:29:02.000,10.0,53.0,0.0,188.0,0.0,0.0,0.0,10.0,10.0,46.0,24.0,1006.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:25:23.000
10501261,E831CD8471EC,2023-10-09 07:31:02.000,10.0,56.0,0.0,191.0,0.0,0.0,0.0,10.0,10.0,46.0,24.0,1006.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:25:47.000
10501264,E831CD8471EC,2023-10-09 07:34:02.000,9.0,56.0,0.0,181.0,0.0,0.0,0.0,8.0,9.0,46.0,25.0,1007.0,4067.0,11,0.01.19,True,",",",",2023-09-10 08:25:47.000
10501265,E831CD8471EC,2023-10-09 07:35:02.000,9.0,56.0,0.0,178.0,0.0,0.0,0.0,9.0,9.0,46.0,25.0,1007.0,4064.0,11,0.01.19,True,",",",",2023-09-10 08:26:11.000
10501270,E831CD8471EC,2023-10-09 07:40:02.000,9.0,55.0,0.0,144.0,0.0,0.0,0.0,9.0,9.0,46.0,25.0,1006.0,4064.0,11,0.01.19,True,",",",",2023-09-10 08:26:34.000
10501273,E831CD8471EC,2023-10-09 07:43:02.000,9.0,54.0,0.0,131.0,0.0,0.0,0.0,8.0,9.0,46.0,25.0,1007.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:26:34.000
10501274,E831CD8471EC,2023-10-09 07:44:02.000,9.0,55.0,0.0,125.0,0.0,0.0,0.0,8.0,9.0,46.0,25.0,1007.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:26:34.000
10501275,E831CD8471EC,2023-10-09 07:45:02.000,9.0,53.0,0.0,122.0,0.0,0.0,0.0,9.0,9.0,46.0,25.0,1007.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:27:00.000
10501276,E831CD8471EC,2023-10-09 07:46:02.000,9.0,55.0,0.0,120.0,0.0,0.0,0.0,9.0,9.0,46.0,24.0,1007.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:27:00.000
10501278,E831CD8471EC,2023-10-09 07:48:02.000,8.0,53.0,0.0,118.0,0.0,0.0,0.0,8.0,8.0,46.0,25.0,1007.0,4060.0,11,0.01.19,True,",",",",2023-09-10 08:27:00.000
10501284,E831CD8471EC,2023-10-09 07:54:02.000,9.0,56.0,0.0,113.0,0.0,0.0,0.0,9.0,9.0,47.0,25.0,1007.0,4067.0,11,0.01.19,True,",",",",2023-09-10 08:27:24.000
10501285,E831CD8471EC,2023-09-10 08:29:12.000,,,,,,,,,,,,,,11,0.01.19,True,",",",",2023-09-10 08:29:12.000
10501291,E831CD8471EC,2023-10-09 07:04:01.000,10.0,55.0,0.0,44.0,0.0,0.0,0.0,9.0,10.0,43.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:36:12.000
10501292,E831CD8471EC,2023-10-09 07:05:02.000,10.0,54.0,0.0,53.0,0.0,0.0,0.0,10.0,10.0,43.0,24.0,1006.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:36:35.000
10501296,E831CD8471EC,2023-10-09 07:09:02.000,9.0,55.0,0.0,59.0,0.0,0.0,0.0,9.0,9.0,43.0,24.0,1007.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:36:35.000
10501297,E831CD8471EC,2023-10-09 07:10:02.000,9.0,54.0,0.0,60.0,0.0,0.0,0.0,9.0,9.0,43.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:36:58.000
10501299,E831CD8471EC,2023-10-09 07:12:02.000,9.0,53.0,0.0,137.0,0.0,0.0,0.0,9.0,9.0,44.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:36:58.000
10501300,E831CD8471EC,2023-10-09 07:13:02.000,10.0,55.0,0.0,158.0,0.0,0.0,0.0,9.0,10.0,45.0,24.0,1006.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:36:58.000
10501302,E831CD8471EC,2023-10-09 07:15:02.000,10.0,57.0,0.0,177.0,0.0,0.0,0.0,9.0,10.0,45.0,24.0,1006.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:37:21.000
10501304,E831CD8471EC,2023-10-09 07:17:02.000,9.0,54.0,0.0,172.0,0.0,0.0,0.0,9.0,10.0,45.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:37:21.000
10501305,E831CD8471EC,2023-10-09 07:18:02.000,9.0,54.0,0.0,173.0,0.0,0.0,0.0,8.0,9.0,45.0,24.0,1006.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:37:21.000
10501306,E831CD8471EC,2023-10-09 07:19:02.000,9.0,55.0,0.0,164.0,0.0,0.0,0.0,9.0,10.0,45.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:37:21.000
10501307,E831CD8471EC,2023-10-09 07:20:02.000,9.0,51.0,0.0,162.0,0.0,0.0,0.0,8.0,9.0,45.0,24.0,1006.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:37:44.000
10501309,E831CD8471EC,2023-10-09 07:22:02.000,9.0,55.0,0.0,165.0,0.0,0.0,0.0,8.0,9.0,45.0,24.0,1006.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:37:44.000
10501310,E831CD8471EC,2023-10-09 07:23:02.000,8.0,56.0,0.0,160.0,0.0,0.0,0.0,8.0,9.0,45.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:37:44.000
10501315,E831CD8471EC,2023-10-09 07:28:02.000,10.0,52.0,0.0,181.0,0.0,0.0,0.0,10.0,10.0,46.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:38:08.000
10501317,E831CD8471EC,2023-10-09 07:30:02.000,10.0,53.0,0.0,199.0,0.0,0.0,0.0,9.0,10.0,46.0,24.0,1006.0,4067.0,13,0.01.19,True,",",",",2023-09-10 08:38:31.000
10501318,E831CD8471EC,2023-10-09 07:31:02.000,10.0,56.0,0.0,191.0,0.0,0.0,0.0,10.0,10.0,46.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:38:31.000
10501319,E831CD8471EC,2023-10-09 07:32:02.000,10.0,52.0,0.0,193.0,0.0,0.0,0.0,9.0,10.0,46.0,24.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:38:31.000
10501320,E831CD8471EC,2023-10-09 07:33:11.000,10.0,55.0,0.0,183.0,0.0,0.0,0.0,9.0,10.0,46.0,25.0,1007.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:38:31.000
10501321,E831CD8471EC,2023-10-09 07:34:02.000,9.0,56.0,0.0,181.0,0.0,0.0,0.0,8.0,9.0,46.0,25.0,1007.0,4067.0,13,0.01.19,True,",",",",2023-09-10 08:38:31.000
10501322,E831CD8471EC,2023-10-09 07:35:02.000,9.0,56.0,0.0,178.0,0.0,0.0,0.0,9.0,9.0,46.0,25.0,1007.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:38:57.000
10501324,E831CD8471EC,2023-10-09 07:37:02.000,9.0,55.0,0.0,176.0,0.0,0.0,0.0,9.0,10.0,46.0,25.0,1006.0,4060.0,13,0.01.19,True,",",",",2023-09-10 08:38:57.000
10501328,E831CD8471EC,2023-10-09 07:41:02.000,10.0,51.0,0.0,145.0,0.0,0.0,0.0,9.0,10.0,46.0,25.0,1007.0,4064.0,13,0.01.19,True,",",",",2023-09-10 08:39:20.000
